reference,year,month,day,survey_score
U528896154,2023,1,31,
U528896154,2023,2,1,
U528896154,2023,2,2,
U528896154,2023,2,3,
U528896154,2023,2,4,
U528896154,2023,2,5,
U528896154,2023,2,6,
U528896154,2023,2,7,
U528896154,2023,2,8,
U528896154,2023,2,9,
U528896154,2023,2,10,
U528896154,2023,2,11,
U528896154,2023,2,12,
U528896154,2023,2,13,
U528896154,2023,2,14,
U528896154,2023,2,15,
U528896154,2023,2,16,
U528896154,2023,2,17,4.0
U528896154,2023,2,18,
U528896154,2023,2,19,
U528896154,2023,2,20,
U528896154,2023,2,21,
U528896154,2023,2,22,
U528896154,2023,2,23,
U528896154,2023,2,24,
U528896154,2023,2,25,
U528896154,2023,2,26,
U528896154,2023,2,27,
U528896154,2023,2,28,
U528896154,2023,3,1,
U528896154,2023,3,2,
U528896154,2023,3,3,
U528896154,2023,3,4,
U528896154,2023,3,5,
U528896154,2023,3,6,
U528896154,2023,3,7,
U528896154,2023,3,8,
U528896154,2023,3,9,
U528896154,2023,3,10,
U528896154,2023,3,11,
U528896154,2023,3,12,
U528896154,2023,3,13,
U528896154,2023,3,14,5.0
U528896154,2023,3,15,
U528896154,2023,3,16,
U528896154,2023,3,17,
U528896154,2023,3,18,
U528896154,2023,3,19,
U528896154,2023,3,20,
U528896154,2023,3,21,
U528896154,2023,3,22,
U528896154,2023,3,23,
U528896154,2023,3,24,
U528896154,2023,3,25,
U528896154,2023,3,26,
U528896154,2023,3,27,
U528896154,2023,3,28,
U528896154,2023,3,29,
U528896154,2023,3,30,
U528896154,2023,3,31,
U330870444,2023,1,1,
U330870444,2023,1,2,
U330870444,2023,1,3,
U330870444,2023,1,4,
U330870444,2023,1,5,
U330870444,2023,1,6,
U330870444,2023,1,7,
U330870444,2023,1,8,
U330870444,2023,1,9,
U330870444,2023,1,10,
U330870444,2023,1,11,
U330870444,2023,1,12,
U330870444,2023,1,13,
U330870444,2023,1,14,
U330870444,2023,1,15,
U330870444,2023,1,16,
U330870444,2023,1,17,
U330870444,2023,1,18,
U330870444,2023,1,19,
U330870444,2023,1,20,
U330870444,2023,1,21,
U330870444,2023,1,22,
U330870444,2023,1,23,
U330870444,2023,1,24,
U330870444,2023,1,25,
U330870444,2023,1,26,
U330870444,2023,1,27,
U330870444,2023,1,28,
U330870444,2023,1,29,
U330870444,2023,1,30,
U330870444,2023,1,31,
U330870444,2023,2,1,
U330870444,2023,2,2,
U330870444,2023,2,3,
U330870444,2023,2,4,
U330870444,2023,2,5,
U330870444,2023,2,6,
U330870444,2023,2,7,
U330870444,2023,2,8,
U330870444,2023,2,9,
U330870444,2023,2,10,
U330870444,2023,2,11,
U330870444,2023,2,12,
U330870444,2023,2,13,
U330870444,2023,2,14,
U330870444,2023,2,15,
U330870444,2023,2,16,
U330870444,2023,2,17,
U330870444,2023,2,18,
U330870444,2023,2,19,
U330870444,2023,2,20,
U330870444,2023,2,21,
U330870444,2023,2,22,
U330870444,2023,2,23,
U330870444,2023,2,24,
U330870444,2023,2,25,
U330870444,2023,2,26,3.0
U330870444,2023,2,27,
U330870444,2023,2,28,
U330870444,2023,3,1,
U330870444,2023,3,2,
U330870444,2023,3,3,
U330870444,2023,3,4,
U330870444,2023,3,5,2.5
U330870444,2023,3,6,
U330870444,2023,3,7,
U330870444,2023,3,8,4.0
U330870444,2023,3,9,
U330870444,2023,3,10,
U330870444,2023,3,11,
U330870444,2023,3,12,
U330870444,2023,3,13,
U330870444,2023,3,14,
U330870444,2023,3,15,2.0
U330870444,2023,3,16,
U330870444,2023,3,17,
U330870444,2023,3,18,
U330870444,2023,3,19,
U330870444,2023,3,20,
U330870444,2023,3,21,
U330870444,2023,3,22,
U330870444,2023,3,23,
U330870444,2023,3,24,
U330870444,2023,3,25,
U330870444,2023,3,26,
U330870444,2023,3,27,
U330870444,2023,3,28,3.5
U330870444,2023,3,29,
U330870444,2023,3,30,
U330870444,2023,3,31,
unit 3 85 belcroft,2023,1,1,
unit 3 85 belcroft,2023,1,2,
unit 3 85 belcroft,2023,1,3,
unit 3 85 belcroft,2023,1,4,
unit 3 85 belcroft,2023,1,5,
unit 3 85 belcroft,2023,1,6,
unit 3 85 belcroft,2023,1,7,
unit 3 85 belcroft,2023,1,8,
unit 3 85 belcroft,2023,1,9,
unit 3 85 belcroft,2023,1,10,
unit 3 85 belcroft,2023,1,11,
unit 3 85 belcroft,2023,1,12,
unit 3 85 belcroft,2023,1,13,
unit 3 85 belcroft,2023,1,14,
unit 3 85 belcroft,2023,1,15,
unit 3 85 belcroft,2023,1,16,
unit 3 85 belcroft,2023,1,17,1.0
unit 3 85 belcroft,2023,1,18,
unit 3 85 belcroft,2023,1,19,
unit 3 85 belcroft,2023,1,20,
unit 3 85 belcroft,2023,1,21,
unit 3 85 belcroft,2023,1,22,
unit 3 85 belcroft,2023,1,23,
unit 3 85 belcroft,2023,1,24,
unit 3 85 belcroft,2023,1,25,
unit 3 85 belcroft,2023,1,26,
unit 3 85 belcroft,2023,1,27,
unit 3 85 belcroft,2023,1,28,
unit 3 85 belcroft,2023,1,29,
unit 3 85 belcroft,2023,1,30,
unit 3 85 belcroft,2023,1,31,
unit 3 85 belcroft,2023,2,1,
unit 3 85 belcroft,2023,2,2,
unit 3 85 belcroft,2023,2,3,
unit 3 85 belcroft,2023,2,4,
unit 3 85 belcroft,2023,2,5,
unit 3 85 belcroft,2023,2,6,
unit 3 85 belcroft,2023,2,7,
unit 3 85 belcroft,2023,2,8,
unit 3 85 belcroft,2023,2,9,
unit 3 85 belcroft,2023,2,10,
unit 3 85 belcroft,2023,2,11,
unit 3 85 belcroft,2023,2,12,
unit 3 85 belcroft,2023,2,13,
unit 3 85 belcroft,2023,2,14,
unit 3 85 belcroft,2023,2,15,
unit 3 85 belcroft,2023,2,16,
unit 3 85 belcroft,2023,2,17,
unit 3 85 belcroft,2023,2,18,
unit 3 85 belcroft,2023,2,19,
unit 3 85 belcroft,2023,2,20,
unit 3 85 belcroft,2023,2,21,
unit 3 85 belcroft,2023,2,22,
unit 3 85 belcroft,2023,2,23,
unit 3 85 belcroft,2023,2,24,
unit 3 85 belcroft,2023,2,25,
unit 3 85 belcroft,2023,2,26,
unit 3 85 belcroft,2023,2,27,
unit 3 85 belcroft,2023,2,28,
unit 3 85 belcroft,2023,3,1,
unit 3 85 belcroft,2023,3,2,
unit 3 85 belcroft,2023,3,3,
unit 3 85 belcroft,2023,3,4,
unit 3 85 belcroft,2023,3,5,
unit 3 85 belcroft,2023,3,6,
unit 3 85 belcroft,2023,3,7,
unit 3 85 belcroft,2023,3,8,
unit 3 85 belcroft,2023,3,9,
unit 3 85 belcroft,2023,3,10,
unit 3 85 belcroft,2023,3,11,
unit 3 85 belcroft,2023,3,12,
unit 3 85 belcroft,2023,3,13,
unit 3 85 belcroft,2023,3,14,
unit 3 85 belcroft,2023,3,15,
unit 3 85 belcroft,2023,3,16,
unit 3 85 belcroft,2023,3,17,
unit 3 85 belcroft,2023,3,18,
unit 3 85 belcroft,2023,3,19,
unit 3 85 belcroft,2023,3,20,
unit 3 85 belcroft,2023,3,21,
unit 3 85 belcroft,2023,3,22,
unit 3 85 belcroft,2023,3,23,
unit 3 85 belcroft,2023,3,24,
unit 3 85 belcroft,2023,3,25,
unit 3 85 belcroft,2023,3,26,
unit 3 85 belcroft,2023,3,27,
unit 3 85 belcroft,2023,3,28,
unit 3 85 belcroft,2023,3,29,
unit 3 85 belcroft,2023,3,30,
unit 3 85 belcroft,2023,3,31,
U56467760,2023,1,1,
U56467760,2023,1,2,
U56467760,2023,1,3,
U56467760,2023,1,4,
U56467760,2023,1,5,2.5
U56467760,2023,1,6,
U56467760,2023,1,7,
U56467760,2023,1,8,
U56467760,2023,1,9,
U56467760,2023,1,10,
U56467760,2023,1,11,
U56467760,2023,1,12,
U56467760,2023,1,13,
U56467760,2023,1,14,
U56467760,2023,1,15,
U56467760,2023,1,16,
U56467760,2023,1,17,
U56467760,2023,1,18,
U56467760,2023,1,19,
U56467760,2023,1,20,
U56467760,2023,1,21,
U56467760,2023,1,22,
U56467760,2023,1,23,
U56467760,2023,1,24,
U56467760,2023,1,25,
U56467760,2023,1,26,
U56467760,2023,1,27,
U56467760,2023,1,28,
U56467760,2023,1,29,
U56467760,2023,1,30,
U56467760,2023,1,31,
U56467760,2023,2,1,
U56467760,2023,2,2,
U56467760,2023,2,3,
U56467760,2023,2,4,
U56467760,2023,2,5,
U56467760,2023,2,6,
U56467760,2023,2,7,
U56467760,2023,2,8,
U56467760,2023,2,9,
U56467760,2023,2,10,
U56467760,2023,2,11,
U56467760,2023,2,12,
U56467760,2023,2,13,
U56467760,2023,2,14,
U56467760,2023,2,15,
U56467760,2023,2,16,
U56467760,2023,2,17,
U56467760,2023,2,18,
U56467760,2023,2,19,
U56467760,2023,2,20,
U56467760,2023,2,21,
U56467760,2023,2,22,
U56467760,2023,2,23,
U56467760,2023,2,24,
U56467760,2023,2,25,
U56467760,2023,2,26,
U56467760,2023,2,27,
U56467760,2023,2,28,
U56467760,2023,3,1,
U56467760,2023,3,2,
U56467760,2023,3,3,
U56467760,2023,3,4,
U56467760,2023,3,5,
U56467760,2023,3,6,
U56467760,2023,3,7,
U56467760,2023,3,8,
U56467760,2023,3,9,
U56467760,2023,3,10,
U56467760,2023,3,11,
U56467760,2023,3,12,
U56467760,2023,3,13,
U56467760,2023,3,14,
U56467760,2023,3,15,
U56467760,2023,3,16,
U56467760,2023,3,17,
U56467760,2023,3,18,
U56467760,2023,3,19,
U56467760,2023,3,20,
U56467760,2023,3,21,
U56467760,2023,3,22,
U56467760,2023,3,23,
U56467760,2023,3,24,
U56467760,2023,3,25,
U56467760,2023,3,26,
U56467760,2023,3,27,
U56467760,2023,3,28,
U56467760,2023,3,29,
U56467760,2023,3,30,
U56467760,2023,3,31,
U5768354,2023,1,1,
U5768354,2023,1,2,
U5768354,2023,1,3,
U5768354,2023,1,4,
U5768354,2023,1,5,
U5768354,2023,1,6,
U5768354,2023,1,7,
U5768354,2023,1,8,
U5768354,2023,1,9,3.5
U5768354,2023,1,10,
U5768354,2023,1,11,
U5768354,2023,1,12,
U5768354,2023,1,13,
U5768354,2023,1,14,
U5768354,2023,1,15,
U5768354,2023,1,16,
U5768354,2023,1,17,
U5768354,2023,1,18,
U5768354,2023,1,19,5.0
U5768354,2023,1,20,
U5768354,2023,1,21,
U5768354,2023,1,22,
U5768354,2023,1,23,
U5768354,2023,1,24,
U5768354,2023,1,25,
U5768354,2023,1,26,
U5768354,2023,1,27,
U5768354,2023,1,28,
U5768354,2023,1,29,
U5768354,2023,1,30,5.0
U5768354,2023,1,31,
U5768354,2023,2,1,
U5768354,2023,2,2,
U5768354,2023,2,3,
U5768354,2023,2,4,
U5768354,2023,2,5,
U5768354,2023,2,6,
U5768354,2023,2,7,
U5768354,2023,2,8,
U5768354,2023,2,9,
U5768354,2023,2,10,
U5768354,2023,2,11,
U5768354,2023,2,12,
U5768354,2023,2,13,
U5768354,2023,2,14,
U5768354,2023,2,15,
U5768354,2023,2,16,
U5768354,2023,2,17,
U5768354,2023,2,18,
U5768354,2023,2,19,
U5768354,2023,2,20,
U5768354,2023,2,21,
U5768354,2023,2,22,
U5768354,2023,2,23,
U5768354,2023,2,24,
U5768354,2023,2,25,
U5768354,2023,2,26,5.0
U5768354,2023,2,27,
U5768354,2023,2,28,
U5768354,2023,3,1,
U5768354,2023,3,2,
U5768354,2023,3,3,
U5768354,2023,3,4,
U5768354,2023,3,5,
U5768354,2023,3,6,
U5768354,2023,3,7,
U5768354,2023,3,8,
U5768354,2023,3,9,
U5768354,2023,3,10,
U5768354,2023,3,11,
U5768354,2023,3,12,
U5768354,2023,3,13,
U5768354,2023,3,14,
U5768354,2023,3,15,
U5768354,2023,3,16,
U5768354,2023,3,17,
U5768354,2023,3,18,
U5768354,2023,3,19,
U5768354,2023,3,20,
U5768354,2023,3,21,
U5768354,2023,3,22,
U5768354,2023,3,23,
U5768354,2023,3,24,
U5768354,2023,3,25,
U5768354,2023,3,26,
U5768354,2023,3,27,
U5768354,2023,3,28,
U5768354,2023,3,29,5.0
U5768354,2023,3,30,
U5768354,2023,3,31,
apt 4b aldwick way,2023,1,1,
apt 4b aldwick way,2023,1,2,
apt 4b aldwick way,2023,1,3,
apt 4b aldwick way,2023,1,4,
apt 4b aldwick way,2023,1,5,
apt 4b aldwick way,2023,1,6,
apt 4b aldwick way,2023,1,7,
apt 4b aldwick way,2023,1,8,
apt 4b aldwick way,2023,1,9,
apt 4b aldwick way,2023,1,10,4.0
apt 4b aldwick way,2023,1,11,
apt 4b aldwick way,2023,1,12,
apt 4b aldwick way,2023,1,13,
apt 4b aldwick way,2023,1,14,
apt 4b aldwick way,2023,1,15,
apt 4b aldwick way,2023,1,16,
apt 4b aldwick way,2023,1,17,
apt 4b aldwick way,2023,1,18,
apt 4b aldwick way,2023,1,19,
apt 4b aldwick way,2023,1,20,
